iter	Passed	Remaining
142	681	4082
143	682	4059
144	684	4036
145	685	4011
146	694	4029
147	696	4009
148	698	3987
149	699	3965
150	701	3942
151	708	3953
152	710	3931
153	711	3910
154	713	3889
155	715	3871
156	721	3876
157	723	3857
158	725	3837
159	726	3816
160	727	3792
161	729	3771
162	730	3750
163	731	3729
164	736	3727
165	738	3708
166	739	3689
167	741	3669
168	742	3651
169	744	3632
170	745	3613
171	746	3594
172	751	3594
173	753	3577
174	755	3559
175	756	3542
176	757	3524
177	759	3508
178	761	3490
179	764	3483
180	766	3468
181	768	3454
182	770	3441
183	772	3427
184	774	3410
185	775	3394
186	777	3380
187	779	3368
188	781	3355
189	783	3341
190	785	3327
191	786	3311
192	788	3297
193	789	3281
194	795	3285
195	798	3273
196	799	3260
197	801	3247
198	803	3234
199	804	3219
200	808	3213
201	810	3201
202	812	3188
203	813	3174
204	815	3160
205	816	3147
206	817	3133
207	819	3120
208	820	3106
209	824	3103
210	826	3089
211	827	3075
212	828	3062
213	830	3050
214	831	3037
215	833	3024
216	834	3011
217	835	2997
218	840	2999
219	842	2987
220	843	2974
221	845	2962
222	846	2949
223	848	2937
224	849	2926
225	853	2923
226	855	2912
227	856	2901
228	858	2889
229	859	2878
230	861	2866
231	862	2855
232	863	2843
233	865	2832
234	869	2831
235	871	2820
236	872	2809
237	873	2798
238	875	2787
239	876	2776
240	878	2765
241	879	2754
242	880	2743
243	882	2734
244	884	2725
245	885	2715
246	887	2705
247	889	2697
248	890	2687
249	895	2685
250	896	2676
251	898	2667
252	899	2657
253	901	2646
254	902	2636
255	903	2626
256	905	2617
257	906	2608
258	911	2608
259	913	2598
260	914	2589
261	915	2579
262	917	2570
263	918	2560
264	919	2551
265	921	2541
266	925	2541
267	927	2532
268	928	2523
269	930	2514
270	931	2505
271	932	2496
272	934	2489
273	935	2480
274	940	2478
275	941	2470
276	942	2461
277	944	2452
278	945	2443
279	946	2434
280	948	2425
281	949	2416
282	950	2407
283	952	2400
284	956	2399
285	958	2393
286	960	2384
287	961	2377
288	963	2370
289	965	2362
290	966	2355
291	972	2357
292	974	2350
293	976	2343
294	977	2336
295	979	2330
296	981	2323
297	990	2332
298	992	2327
299	994	2320
300	995	2312
301	997	2305
302	1002	2306
303	1004	2299
304	1005	2291
305	1007	2284
306	1008	2277
307	1010	2269
308	1011	2262
309	1013	2254
310	1017	2255
311	1019	2247
312	1020	2239
313	1021	2231
314	1022	2224
315	1024	2216
316	1026	2210
317	1027	2203
318	1033	2206
319	1035	2200
320	1036	2193
321	1038	2186
322	1039	2178
323	1040	2171
324	1042	2164
325	1043	2157
326	1045	2151
327	1046	2144
328	1048	2138
329	1050	2132
330	1053	2128
331	1054	2122
332	1070	2143
333	1073	2140
334	1075	2134
335	1076	2127
336	1078	2122
337	1080	2115
338	1082	2110
339	1083	2103
340	1085	2097
341	1089	2095
342	1091	2089
343	1092	2083
344	1093	2076
345	1095	2070
346	1097	2065
347	1099	2059
348	1100	2052
349	1104	2051
350	1106	2045
351	1107	2039
352	1108	2032
353	1110	2025
354	1111	2018
355	1112	2012
356	1114	2007
357	1115	2001
358	1120	2000
359	1121	1994
360	1123	1989
361	1125	1983
362	1126	1977
363	1128	1971
364	1129	1965
365	1133	1964
366	1136	1959
367	1137	1953
368	1139	1947
369	1140	1941
370	1141	1936
371	1143	1929
372	1144	1923
373	1145	1917
374	1151	1918
375	1152	1913
376	1154	1907
377	1155	1901
378	1156	1895
379	1158	1890
380	1159	1884
381	1160	1878
382	1166	1878
383	1168	1873
384	1169	1868
385	1171	1863
386	1173	1858
387	1174	1853
388	1176	1847
389	1181	1847
390	1183	1842
391	1184	1837
392	1186	1833
393	1188	1828
394	1190	1822
395	1191	1817
396	1197	1819
397	1199	1814
398	1200	1809
399	1202	1804
400	1204	1799
401	1206	1794
402	1212	1795
403	1214	1790
404	1215	1785
405	1217	1780
406	1218	1775
407	1220	1770
408	1223	1767
409	1225	1763
410	1227	1758
411	1228	1753
412	1230	1748
413	1231	1743
414	1232	1737
415	1234	1732
416	1235	1727
417	1240	1727
418	1241	1722
419	1243	1717
420	1245	1712
421	1246	1707
422	1248	1702
423	1249	1697
424	1251	1692
425	1253	1688
426	1255	1685
427	1257	1681
428	1260	1677
429	1262	1672
430	1266	1672
431	1268	1667
432	1270	1663
433	1271	1658
434	1273	1654
435	1274	1649
